Algorithm,Problem,Exp,Indicator,Value,obj
1,2,6,1,2.183773,3
1,2,6,2,0.221625897976731,3
1,2,6,3,0.550131318954357,3
1,2,7,1,2.3344199,3
1,2,7,2,0.217520514219032,3
1,2,7,3,0.556938825458331,3
1,2,8,1,2.2000229,3
1,2,8,2,0.219890524921165,3
1,2,8,3,0.552222689005324,3
1,2,9,1,2.1924276,3
1,2,9,2,0.21601212987118,3
1,2,9,3,0.553689083089037,3
1,2,10,1,2.1908777,3
1,2,10,2,0.218480404340592,3
1,2,10,3,0.551316721576466,3
1,2,11,1,2.1560025,3
1,2,11,2,0.218553235296905,3
1,2,11,3,0.556222906230549,3
1,2,12,1,2.1844726,3
1,2,12,2,0.219972018315401,3
1,2,12,3,0.550993981834101,3
1,2,13,1,2.1714049,3
1,2,13,2,0.224473345530746,3
1,2,13,3,0.5517935829524,3
1,2,14,1,2.2459219,3
1,2,14,2,0.217217741771033,3
1,2,14,3,0.55305691401455,3
1,2,15,1,2.2796157,3
1,2,15,2,0.218161997352203,3
1,2,15,3,0.554972022784998,3
1,2,16,1,2.1898857,3
1,2,16,2,0.225031687549049,3
1,2,16,3,0.551650826407395,3
1,2,17,1,2.1949625,3
1,2,17,2,0.220266968861245,3
1,2,17,3,0.553178832003622,3
1,2,18,1,2.1772101,3
1,2,18,2,0.22308051250436,3
1,2,18,3,0.553006243665566,3
1,2,19,1,2.2319293,3
1,2,19,2,0.218373261304962,3
1,2,19,3,0.55387134373174,3
1,2,20,1,2.2427344,3
1,2,20,2,0.220233885915581,3
1,2,20,3,0.554795339054946,3
2,2,1,1,4.4268271,3
2,2,1,2,0.190754057217499,3
2,2,1,3,0.574695214500524,3
2,2,2,1,4.3737459,3
2,2,2,2,0.190749615338034,3
2,2,2,3,0.574706783469107,3
2,2,3,1,4.48628839999999,3
2,2,3,2,0.190755519780187,3
2,2,3,3,0.574691053504181,3
2,2,4,1,4.4316551,3
2,2,4,2,0.190755465676161,3
2,2,4,3,0.574685991938014,3
2,2,5,1,4.4337885,3
2,2,5,2,0.190756300276711,3
2,2,5,3,0.574688722201137,3
2,2,6,1,4.5808367,3
2,2,6,2,0.190744232280296,3
2,2,6,3,0.574702485832857,3
2,2,7,1,4.4083516,3
2,2,7,2,0.191192403185314,3
2,2,7,3,0.574618083101371,3
2,2,8,1,4.4392317,3
2,2,8,2,0.190750885770805,3
2,2,8,3,0.574700761510476,3
2,2,9,1,4.4247545,3
2,2,9,2,0.190757100820833,3
2,2,9,3,0.574690306833688,3
2,2,10,1,4.4957153,3
2,2,10,2,0.190759313590871,3
2,2,10,3,0.574670674504121,3
2,2,11,1,4.526397,3
2,2,11,2,0.190752205985338,3
2,2,11,3,0.574706535250067,3
2,2,12,1,4.3529589,3
2,2,12,2,0.190753902304771,3
2,2,12,3,0.574689616106979,3
2,2,13,1,4.5471672,3
2,2,13,2,0.190782434754741,3
2,2,13,3,0.574649364970366,3
2,2,14,1,4.6555125,3
2,2,14,2,0.190753157010384,3
2,2,14,3,0.574713508835891,3
2,2,15,1,4.4943935,3
2,2,15,2,0.190757032825985,3
2,2,15,3,0.574701054647089,3
2,2,16,1,4.4375646,3
2,2,16,2,0.190772081500427,3
2,2,16,3,0.574635557050835,3
2,2,17,1,4.5182495,3
2,2,17,2,0.190755501668017,3
2,2,17,3,0.574689543532284,3
2,2,18,1,4.4582128,3
2,2,18,2,0.190748867246178,3
2,2,18,3,0.574711673739596,3
2,2,19,1,4.413035,3
2,2,19,2,0.190763184242039,3
2,2,19,3,0.574708859229037,3
2,2,20,1,4.5577459,3
2,2,20,2,0.190782931249001,3
2,2,20,3,0.574696221273703,3
3,2,1,1,30.6356828,3
3,2,1,2,0.19074463065873,3
3,2,1,3,0.574718654583363,3
3,2,2,1,29.5732568,3
3,2,2,2,0.190745541585787,3
3,2,2,3,0.574719031716075,3
3,2,3,1,30.7810494,3
3,2,3,2,0.190746120071829,3
3,2,3,3,0.57471676676509,3
3,2,4,1,29.7126616,3
3,2,4,2,0.190746752773199,3
3,2,4,3,0.5747188317457,3
3,2,5,1,29.6608156,3
3,2,5,2,0.190745012207577,3
3,2,5,3,0.574715195400961,3
3,2,6,1,29.9340164,3
3,2,6,2,0.190746272082261,3
3,2,6,3,0.574711657081034,3
3,2,7,1,29.8376602,3
3,2,7,2,0.190746472912238,3
3,2,7,3,0.574717563147728,3
3,2,8,1,29.4794742,3
3,2,8,2,0.190746242786681,3
3,2,8,3,0.574720261424042,3
3,2,9,1,29.7076582,3
3,2,9,2,0.190745392934941,3
3,2,9,3,0.574709856015121,3
3,2,10,1,30.9517476,3
3,2,10,2,0.190746000897358,3
3,2,10,3,0.574712867793972,3
3,2,11,1,29.8935743,3
3,2,11,2,0.190746096984673,3
3,2,11,3,0.574708129899289,3
3,2,12,1,29.7242854,3
3,2,12,2,0.190745701118849,3
3,2,12,3,0.574717452704464,3
3,2,13,1,29.8910551,3
3,2,13,2,0.190745453979361,3
3,2,13,3,0.574721455545865,3
3,2,14,1,30.6522502,3
3,2,14,2,0.190746038338018,3
3,2,14,3,0.574715514498365,3
3,2,15,1,29.7221708,3
3,2,15,2,0.190746025247012,3
3,2,15,3,0.57471932612895,3
3,2,16,1,29.7092308,3
3,2,16,2,0.190746248897041,3
3,2,16,3,0.574715836292834,3
3,2,17,1,29.7373453,3
3,2,17,2,0.190745691483348,3
3,2,17,3,0.574720330712758,3
3,2,18,1,29.9768622,3
3,2,18,2,0.190746833969894,3
3,2,18,3,0.574697482764609,3
3,2,19,1,30.5051231,3
3,2,19,2,0.190746323487537,3
3,2,19,3,0.574710541781615,3
3,2,20,1,29.9946472,3
3,2,20,2,0.190746405952586,3
3,2,20,3,0.574717105234306,3
4,2,1,1,259.59108,3
4,2,1,2,0.236216846497818,3
4,2,1,3,0.574406926470713,3
4,2,2,1,261.3602919,3
4,2,2,2,0.244149836156248,3
4,2,2,3,0.57383304901949,3
4,2,3,1,262.4307194,3
4,2,3,2,0.238795823492457,3
4,2,3,3,0.574573890393234,3
4,2,4,1,261.6524529,3
4,2,4,2,0.242392200155815,3
4,2,4,3,0.574679542850953,3
4,2,5,1,265.1362629,3
4,2,5,2,0.240252003235457,3
4,2,5,3,0.573803135652938,3
4,2,6,1,260.6753187,3
4,2,6,2,0.237886862089263,3
4,2,6,3,0.573545499999675,3
4,2,7,1,259.6134485,3
4,2,7,2,0.235417238690336,3
4,2,7,3,0.574818735787997,3
4,2,8,1,265.8804844,3
4,2,8,2,0.232690801358466,3
4,2,8,3,0.575069092970521,3
4,2,9,1,262.983244,3
4,2,9,2,0.23920810951365,3
4,2,9,3,0.574268926325881,3
4,2,10,1,264.1748272,3
4,2,10,2,0.235637143141818,3
4,2,10,3,0.573824951306216,3
4,2,11,1,264.0115418,3
4,2,11,2,0.241448176360563,3
4,2,11,3,0.574195272995051,3
4,2,12,1,263.834438,3
4,2,12,2,0.240518150177037,3
4,2,12,3,0.574681027294885,3
4,2,13,1,263.1805424,3
4,2,13,2,0.234138842770371,3
4,2,13,3,0.574532994316626,3
4,2,14,1,264.9874893,3
4,2,14,2,0.238902920883956,3
4,2,14,3,0.574359587677598,3
4,2,15,1,262.3519209,3
4,2,15,2,0.241270806622413,3
4,2,15,3,0.573661442036948,3
4,2,16,1,265.2832716,3
4,2,16,2,0.240958782959869,3
4,2,16,3,0.573835624002165,3
4,2,17,1,265.891913,3
4,2,17,2,0.237470822642488,3
4,2,17,3,0.575202985735177,3
4,2,18,1,265.6942981,3
4,2,18,2,0.234041496597126,3
4,2,18,3,0.574523621714758,3
4,2,19,1,260.7122309,3
4,2,19,2,0.235146818014415,3
4,2,19,3,0.574796508935442,3
4,2,20,1,266.9115964,3
4,2,20,2,0.233959120333735,3
4,2,20,3,0.574334850181381,3
