Algorithm,Problem,Exp,obj,Indicator,value
MOEA/D,F2,10,10D,DeltaP,0.999370122469477
MOEA/D,F2,10,15D,DeltaP,0.951955871428067
MOEA/D,F2,11,3D,DeltaP,0.999965084106504
MOEA/D,F2,11,5D,DeltaP,0.791341655081928
MOEA/D,F2,11,7D,DeltaP,0.999728752280691
MOEA/D,F2,11,10D,DeltaP,0.999318987105652
MOEA/D,F2,11,15D,DeltaP,0.953730816066267
MOEA/D,F2,12,3D,DeltaP,0.99997249654631
MOEA/D,F2,12,5D,DeltaP,0.791359723386898
MOEA/D,F2,12,7D,DeltaP,0.999655911771055
MOEA/D,F2,12,10D,DeltaP,0.999360626235281
MOEA/D,F2,12,15D,DeltaP,0.951261990527169
MOEA/D,F2,13,3D,DeltaP,0.999977124140983
MOEA/D,F2,13,5D,DeltaP,0.791272994205912
MOEA/D,F2,13,7D,DeltaP,0.99965456015275
MOEA/D,F2,13,10D,DeltaP,0.99939720399113
MOEA/D,F2,13,15D,DeltaP,0.952050084203554
MOEA/D,F2,14,3D,DeltaP,0.99996618224323
MOEA/D,F2,14,5D,DeltaP,0.791388854305561
MOEA/D,F2,14,7D,DeltaP,0.999738132764584
MOEA/D,F2,14,10D,DeltaP,0.999497053018212
MOEA/D,F2,14,15D,DeltaP,0.956713006441418
MOEA/D,F2,15,3D,DeltaP,0.999966427367432
MOEA/D,F2,15,5D,DeltaP,0.791359725293037
MOEA/D,F2,15,7D,DeltaP,0.999777950616765
MOEA/D,F2,15,10D,DeltaP,0.999364472388708
MOEA/D,F2,15,15D,DeltaP,0.951941460076959
MOEA/D,F2,16,3D,DeltaP,0.999962239604112
MOEA/D,F2,16,5D,DeltaP,0.791430833337586
MOEA/D,F2,16,7D,DeltaP,0.999619273183691
MOEA/D,F2,16,10D,DeltaP,0.999394237630117
MOEA/D,F2,16,15D,DeltaP,0.953355457799909
MOEA/D,F2,17,3D,DeltaP,0.99997267696747
MOEA/D,F2,17,5D,DeltaP,0.791328528963379
MOEA/D,F2,17,7D,DeltaP,0.999722484153331
MOEA/D,F2,17,10D,DeltaP,0.999370546645725
MOEA/D,F2,17,15D,DeltaP,0.95211324934331
MOEA/D,F2,18,3D,DeltaP,0.999951284333306
MOEA/D,F2,18,5D,DeltaP,0.791393338102763
MOEA/D,F2,18,7D,DeltaP,0.999771057514031
MOEA/D,F2,18,10D,DeltaP,0.999189290403044
MOEA/D,F2,18,15D,DeltaP,0.952150814446019
MOEA/D,F2,19,3D,DeltaP,0.999960842924913
MOEA/D,F2,19,5D,DeltaP,0.791274238287166
MOEA/D,F2,19,7D,DeltaP,0.999675231557567
MOEA/D,F2,19,10D,DeltaP,0.999302761573951
MOEA/D,F2,19,15D,DeltaP,0.954644894235872
MOEA/D,F2,20,3D,DeltaP,0.99995929879765
MOEA/D,F2,20,5D,DeltaP,0.791331391205449
MOEA/D,F2,20,7D,DeltaP,0.999634073974681
MOEA/D,F2,20,10D,DeltaP,0.999375527085446
MOEA/D,F2,20,15D,DeltaP,0.951935219518907
MOEA/D,F3,1,3D,DeltaP,0.999511468782443
MOEA/D,F3,1,5D,DeltaP,0.998899585420949
MOEA/D,F3,1,7D,DeltaP,0.999879085088432
MOEA/D,F3,1,10D,DeltaP,0.99999222075618
MOEA/D,F3,1,15D,DeltaP,0.991769243560057
MOEA/D,F3,2,3D,DeltaP,0.938313860629151
MOEA/D,F3,2,5D,DeltaP,0.998836445006248
MOEA/D,F3,2,7D,DeltaP,1
MOEA/D,F3,2,10D,DeltaP,0.999647626264876
MOEA/D,F3,2,15D,DeltaP,0.991792496559356
MOEA/D,F3,3,3D,DeltaP,0.992661713767914
MOEA/D,F3,3,5D,DeltaP,0.998855246311227
MOEA/D,F3,3,7D,DeltaP,0.999989494501326
MOEA/D,F3,3,10D,DeltaP,0.999935013661845
MOEA/D,F3,3,15D,DeltaP,0.999225234727765
MOEA/D,F3,4,3D,DeltaP,0.982686654073916
MOEA/D,F3,4,5D,DeltaP,0.998890450802482
MOEA/D,F3,4,7D,DeltaP,0.999854148251864
MOEA/D,F3,4,10D,DeltaP,0.991423415594411
MOEA/D,F3,4,15D,DeltaP,0.991883113515587
MOEA/D,F3,5,3D,DeltaP,0.977261435793159
MOEA/D,F3,5,5D,DeltaP,0.998889123144664
MOEA/D,F3,5,7D,DeltaP,0.99988035642901
